Id,PersonId,Name,MetadataDateSent,clean_email,raw_email,scores_nltk,pred_nltk,scores_TextBlob,pred_TextBlob,same,topic,topic_0,topic_1,topic_2
66,87,Jake Sullivan,2011-04-02T04:00:00+00:00,Pis print Wednesday October PM Fw Fwd Benghazi was obamas am call,"Pis print H <hrod17@clintonemail.com> Wednesday, October 3, 2012 12:05 PM 'Russorv@state.gov' Fw: Fwd: Benghazi was obama's 3 am call",0.0,neutural,0.0,neutural,1.0,topic_1,0.19242138763240976,0.7188928545553516,0.08868575781223863
68,185,Robert Russo,2012-09-14T04:00:00+00:00,When is Chris Stevens going,"When is Chris Stevens going? ---,",0.0,neutural,0.0,neutural,1.0,topic_1,0.1406107210102402,0.7202782976559192,0.13911098133384067
71,185,Robert Russo,2012-10-07T04:00:00+00:00,Pis print Friday September PM Fw CNN Belief Blog Prothero,"Pis print. H <hrod17@clintonemail.com> Friday, September 14, 2012 8:56 PM `Russorv@state.gov' Fw: CNN Belief Blog. Prothero",0.0,neutural,0.0,neutural,1.0,topic_2,0.08537307688035403,0.3509424521465924,0.5636844709730535
74,87,Jake Sullivan,2012-10-07T04:00:00+00:00,Pis print,Pis print. ..... ....,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
79,81,Huma Abedin,2012-09-15T04:00:00+00:00,Useful insight Pls circulate,Useful insight. Pls circulate.,0.4939,positive,0.3,positive,1.0,topic_2,0.1165096380359796,0.13377992018338325,0.7497104417806372
83,32,Cheryl Mills,2012-10-08T04:00:00+00:00,thanked Prince Saud,I thanked Prince Saud.,0.4404,positive,0.0,neutural,0.0,topic_2,0.15206846650682376,0.13536132904646975,0.7125702044467066
86,87,Jake Sullivan,2011-04-08T04:00:00+00:00,Can you call me,Can you call me?,0.0,neutural,0.0,neutural,1.0,topic_0,0.3333333333333333,0.3333333333333333,0.3333333333333333
90,150,Monica Hanley,2012-09-15T04:00:00+00:00,Friday April PM Fvv UK game playing new rebel strategists Egypt moves in Sid hit memo UK games new rebel strategists Egypt moves docx Fyi,"H <hrod17@clintonernail.com> Friday, April 8, 2011 5:35 PM 'sullivanjj@state.govi Fvv: H: UK game playing; new rebel strategists; Egypt moves in Sid hit memo UK games; new rebel strategists; Egypt moves 040811.docx Fyi, B5",0.1027,positive,-0.04242424242424244,negative,0.0,topic_0,0.6539207790655281,0.26275625180379136,0.08332296913068046
93,150,Monica Hanley,2012-09-15T04:00:00+00:00,approved Will it be picked up call King should be scheduled so keep working Huma will speak to Holder Does he need to speak secure can do either,--I approved. Will it be picked up? --call w King should be scheduled so keep working w Huma --I will speak to Holder. Does he need to speak secure? I can do either.,0.6369,positive,0.4,positive,1.0,topic_2,0.0872355345790237,0.3332874505630736,0.5794770148579026
102,81,Huma Abedin,2011-04-23T04:00:00+00:00,Yes II give memo to Service downstairs What about Holder And the King,"Yes, II give memo to Service downstairs. What about Holder? And the King? ---",0.4019,positive,0.0,neutural,0.0,topic_1,0.09469521583304284,0.8028097796797479,0.10249500448720923
104,150,Monica Hanley,2012-09-15T04:00:00+00:00,What is Donnas it,What is Donna's it?,0.0,neutural,0.0,neutural,1.0,topic_1,0.16855481518579524,0.6632109987877058,0.1682341860264988
106,87,Jake Sullivan,2012-10-12T04:00:00+00:00,Ok Thx Also are you in DC,"Ok. Thx. Also, are you in DC? ---",0.5719,positive,0.5,positive,1.0,topic_1,0.13194591496615626,0.7410526866577128,0.1270013983761309
112,150,Monica Hanley,2012-09-15T04:00:00+00:00,Ok Ill read the whole thing Can you email it to me,Ok. I'll read the whole thing. Can you email it to me?,-0.1531,negative,0.06666666666666668,positive,0.0,topic_1,0.10514756297399064,0.7879759865632083,0.1068764504628011
113,150,Monica Hanley,2012-09-16T04:00:00+00:00,Ok,Ok. - --,0.29600000000000004,positive,0.5,positive,1.0,topic_1,0.16670708093985628,0.6665908045641527,0.166702114495991
116,150,Monica Hanley,2012-09-16T04:00:00+00:00,Is Dan coming at,Is Dan coming at 9? ----,0.0,neutural,0.0,neutural,1.0,topic_1,0.14180529787328294,0.7166285981470698,0.14156610397964725
118,150,Monica Hanley,2012-09-16T04:00:00+00:00,can do it right now,I can do it right now. ---,0.0,neutural,0.2857142857142857,positive,0.0,topic_0,0.6539671678532102,0.17231382064049494,0.17371901150629476
119,116,Lauren Jiloty,2011-05-02T04:00:00+00:00,can do it right now,I can do it right now. ----,0.0,neutural,0.2857142857142857,positive,0.0,topic_0,0.6539671678532102,0.17231382064049494,0.17371901150629476
122,87,Jake Sullivan,2011-05-06T04:00:00+00:00,Monday May AM Fw UBL AQ Libya Sid hrc memo bin laden aq libyadoot Pis print From Sent Monday May AM To Subject UBL AQ Libya Sid May For Hillary,"H <hrod17@chntonemail.com> Monday, May 2, 201111:08 AM 'JilotyLC@state.gov' Fw: H: UBL, AQ & Libya. Sid hrc memo bin laden, aq 8t libya.doot Pis print. From; B6 Sent: Monday, May 02, 2011 09:12 AM To: H Subject: H: UBL, AQ & Libya. Sid May 2, 2011 For Hillary",0.0,neutural,-0.16666666666666666,negative,0.0,topic_0,0.6484208688004159,0.27424094362857954,0.07733818757100443
124,150,Monica Hanley,2012-09-16T04:00:00+00:00,Friday May AM Fw UBL AQ Libya Sid hrc memo bin laden aq libyadocx More to pass on disturbing if true From Sent Monday May AM To Subject UBL AQ Libya Sid May For Hillary,"H <hrod17@clintonemail.com > Friday, May 6, 20111:53 AM 'sullivanjj@state.gov' Fw: H: UBL, AQ & Libya. Sid hrc memo bin laden, aq & libya.docx More to pass on--disturbing, if true. _ ----- From Sent: Monday, May 02, 2011 09:12 AM To: H Subject: H: UBL, AQ & Libya. Sid May 2, 2011 For Hillary",-0.128,negative,0.04583333333333333,positive,0.0,topic_0,0.7082263216198131,0.21859785316998767,0.07317582521019915
130,32,Cheryl Mills,2012-09-16T04:00:00+00:00,have it Or inal Message,"I have it, ---- Or"" inal Message ---",0.0,neutural,0.0,neutural,1.0,topic_0,0.720619783621883,0.13945691922409625,0.13992329715402071
132,32,Cheryl Mills,2012-10-14T04:00:00+00:00,As planned,As planned.... --,0.0,neutural,0.0,neutural,1.0,topic_2,0.16752591725448068,0.16694936389340848,0.6655247188521107
134,87,Jake Sullivan,2011-06-03T04:00:00+00:00,Very nice Can you talk,Very nice. Can you talk?,0.4754,positive,0.78,positive,1.0,topic_0,0.5153043655120639,0.33734877676427377,0.14734685772366213
137,32,Cheryl Mills,2012-10-14T04:00:00+00:00,Friday June PM Fw New memo Qs secret bid to UK Sid Jake fyi Laurenpls print,"H <hrod17@clintonemailcorn> Friday, June 3, 20111:54 PM 'suIlivanjj@state.gov' 'JilotyLC@state.gov' Fw: H: New memo: Qs secret bid to UK. Sid Jake--fyi Lauren—pls print.",0.2023,positive,-0.13181818181818186,negative,0.0,topic_1,0.07555769197974392,0.8511851180023752,0.07325719001788089
144,150,Monica Hanley,2012-10-15T04:00:00+00:00,Im at home in NY so just call when and if you can,I'm at home in NY so just call when and if you can.,0.0,neutural,0.0,neutural,1.0,topic_0,0.7179509007024915,0.14161216329434748,0.1404369360031612
148,87,Jake Sullivan,2012-10-15T04:00:00+00:00,Monday October PM Fw Fwd Salon The Death of Ambassador Chris Stevens the Need for Expeditionary Diplomacy and the Real Lessons for US Diplomacy Pls print,"H <hrod17@clintonemail.com> Monday, October 15, 2012 4:46 PM 'hanleymr@state.gov' Fw: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ''Expeditionary Diplomacy, ""and the Real Lessons for U.S. Diplomacy Pls print.",-0.5574,negative,0.2,positive,0.0,topic_1,0.06980021242579343,0.8598999258307846,0.07029986174342201
157,87,Jake Sullivan,2012-10-17T04:00:00+00:00,Diplomacy and the Real Lessons for US Diplomacy Worth reading Fro mailtc Sent Monday October uzi To Subject Fwd Salon The Death of Ambassador Chris Stevens the Need for Expeditionary Diplomacy and the Real Lessons for US Diplomacy Helpful article Sid Sent from my Verizon Wireless LTE DROID,"Diplomacy, 'and the Real Lessons for U.S. Diplomacy Worth reading. Fro ""mailtc Sent. Monday, October 15, - 2012 _u:zi-- A79— To: H Subject: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ""Expeditionary Diplomacy, ""and the Real Lessons for U.S. Diplomacy Helpful article. Sid Sent from my Verizon Wireless 4G LTE DROID",-0.0516,negative,0.13333333333333336,positive,0.0,topic_1,0.0643207520637088,0.8709331427638458,0.06474610517244539
158,81,Huma Abedin,2011-08-22T04:00:00+00:00,Pis print Wednesday October PM Fw,Pis print. H <hrod17@clintonemail.com> Wednesday. October 17 2012 5.48 PM B6 Fw: ---,0.0,neutural,0.0,neutural,1.0,topic_1,0.09833445686071676,0.8006803253684552,0.100985217770828
161,185,Robert Russo,2012-10-17T04:00:00+00:00,Fyi,Fyi. B6,0.2023,positive,0.0,neutural,0.0,topic_1,0.1675914588566189,0.6656181484745894,0.16679039266879167
165,160,Oscar Flores,2011-09-03T04:00:00+00:00,Can we arrange shipments of whats requested,Can we arrange shipments of what's requested?,0.0,neutural,0.0,neutural,1.0,topic_0,0.7333114000798749,0.12625923676119835,0.14042936315892673
165,233,oscar flores,2011-09-03T04:00:00+00:00,Pis print Wednesday September PM Fw Fwd Andrew Sullivan with the Hillary love,Pis print. H <hrod17@clintonemail.com> Wednesday. September 19 2012 4:26 PM Fw: Fwd: Andrew Sullivan with the Hillary love,0.6369,positive,0.5,positive,1.0,topic_1,0.080368982026459,0.5892863658164136,0.3303446521571273
172,32,Cheryl Mills,2012-10-19T04:00:00+00:00,Wednesday October PM Fw Fwd Salon The Death of Ambassador Chris Stevens the Need for Expeditionary Diplomacy and the Real Lessons for US Diplomacy Pls print,"H <hrod17@clintonernail.com5 Wednesday, October 17, 2012 9:14 PM 'RLissorv@state.gov' Fw: Fwd: [Salon] The Death of Ambassador Chris Stevens, the Need for ""Expeditionary Diplomacy, "" and the Real Lessons for U.S. Diplomacy Pls print.",-0.5574,negative,0.2,positive,0.0,topic_1,0.06973022975696645,0.8596152769483533,0.07065449329468029
179,87,Jake Sullivan,2012-10-25T04:00:00+00:00,Pis print for me,Pis print for me.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
182,160,Oscar Flores,2012-09-22T04:00:00+00:00,just heard an npr report about the CIA station chief in Tripoli sending cable on saying there was no demo etc Do you know about this US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB,I just heard an npr report about the CIA station chief in Tripoli sending a cable on 9/12 saying there was no demo etc. Do you know about this? U.S. Department of State Case No. F-2015-04841 Doc No. C05739763 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045746,-0.5574,negative,-0.033333333333333326,negative,1.0,topic_0,0.8849685468090528,0.05779068755308176,0.05724076563786563
182,233,oscar flores,2012-09-22T04:00:00+00:00,Fyi and send around as you choose,Fyi and send around as you choose.,0.2023,positive,0.0,neutural,0.0,topic_1,0.12591146869299502,0.7473463267544677,0.12674220455253735
184,150,Monica Hanley,2012-09-23T04:00:00+00:00,Ns print,Ns print.,0.0,neutural,0.0,neutural,1.0,topic_2,0.15237316434570544,0.3343541935279583,0.5132726421263362
187,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pls print,Pls print.,0.0772,positive,0.0,neutural,0.0,topic_1,0.13898723710202648,0.7206180150118776,0.14039474788609593
193,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pis print,Pis print. ----,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
195,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pls print,Pls print. ----,0.0772,positive,0.0,neutural,0.0,topic_1,0.13898723710202648,0.7206180150118776,0.14039474788609593
196,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pis print Sunday September PM Fw Thanks,"Pis print. H <hrod17@clintonemail.com› Sunday, September 23, 2012 10.36 PM 'hanieymr@state.gov` Fw: Thanks",0.4404,positive,0.2,positive,1.0,topic_1,0.09708606337177056,0.7137016468618623,0.1892122897663672
199,87,Jake Sullivan,2012-01-05T05:00:00+00:00,Pis print Sunday September PM Fw thanks,"Pis print. H <hrod17@ciintonernail.com> Sunday, September 23, 2012 10:36 PM 'hanleymr@state.gov. Fw: thanks ...",0.4404,positive,0.2,positive,1.0,topic_1,0.09708606337177056,0.7137016468618623,0.1892122897663672
199,253,sulliyanfostate.gott,2012-01-05T05:00:00+00:00,Worrying Pls distribute and request feedback from Jeff Cretz et al,"Worrying. Pls distribute and request feedback from Jeff, Cretz, et al.",-0.2732,negative,0.0,neutural,0.0,topic_0,0.6564790375471949,0.2568113372527261,0.08670962520007884
202,32,Cheryl Mills,2012-11-14T05:00:00+00:00,Thursday January PM Re latest intel libyan conflicts leaders militias Sid Thanks as always and Happy New Year,"H <hrod17@clintonemail.com> Thursday January 5 2012 5:22 PM B6 Re: H: latest intel libyan conflicts, leaders & militias. Sid Thanks, as always, and Happy New Year! _",0.6124,positive,0.40909090909090906,positive,1.0,topic_1,0.2938644091700115,0.5889774113144829,0.11715817951550556
203,150,Monica Hanley,2012-09-23T04:00:00+00:00,When will he do SenateFeinstein From Mills Cheryl mailtoMillsCastategovj Sent Wednesday November PM Eastern Standard Time To Subject Fw POLITICO Breaking News,"When will he do Senate/Feinstein? From Mills, Cheryl D [mailto:MillsCa©state.govj Sent: Wednesday, November 14, 2012 0806 PM Eastern Standard Time To: H Subject Fw: POLITICO Breaking News",0.0,neutural,-0.08333333333333333,negative,0.0,topic_1,0.07102996429951061,0.8554270760324184,0.07354295966807092
220,32,Cheryl Mills,2012-11-23T05:00:00+00:00,Pis print From Mills Cheryl mailto Sent Friday September PM To Subject FW Libyans march against Islamist militias in Benghazi,"Pis print. From Mills, Cheryl D [mailto:MillsCD@state.gov] Sent: Friday, September 21, 2012 0404 PM To: H Subject: FW: Libyans march against Islamist militias in Benghazi",0.0,neutural,-0.16666666666666666,negative,0.0,topic_0,0.4913208563719947,0.4346347015419419,0.07404444208606352
225,32,Cheryl Mills,2012-11-23T05:00:00+00:00,Pis print Sunday November PM Fvv WSJ Hillary and Libya From Mills Cheryl mailto Sent Friday November PM Eastern Standard Time To Subject Fvv WS Hillary and Libya,"Pis print. H <hrod17@clintonemail.com> Sunday, November 18, 2012 5:41PM Fvv: WSJ: Hillary and Libya From Mills, Cheryl 1) [mailto:MillsCD@state.gov] Sent: Friday, November 16, 2012 10:03 PM Eastern Standard Time To: H Subject: Fvv: WS3: Hillary and Libya",0.0,neutural,-0.08333333333333333,negative,0.0,topic_1,0.22071262769403832,0.7088074116386863,0.07047996066727527
226,87,Jake Sullivan,2012-01-23T05:00:00+00:00,US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER RELEASE IN PART BB,"U.S. Department of State Case No. F-2015-04841 Doc No. C05739817 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. RELEASE IN PART B5,B6",-0.34,negative,-0.033333333333333326,negative,1.0,topic_0,0.8453005863419916,0.06631113707926539,0.08838827657874301
235,124,Lona Valmoro,2012-11-25T05:00:00+00:00,US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER RELEASE IN PART BB,"U.S. Department of State Case No. F-2015-04841 Doc No. C05739823 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. RELEASE IN PART B5,B6",-0.34,negative,-0.033333333333333326,negative,1.0,topic_0,0.8453005863419916,0.06631113707926539,0.08838827657874301
245,216,William Burns,2012-12-20T05:00:00+00:00,Monday January PM Fw good hetet internal Libya Sid hrc memo libya internal strife cioa Fyi as usual distribute as you determine,"H ehrod17@elintonemail.come Monday, January 23, 2012 1:41 PM 'sullivanjj@state.gov' Fw: H: V good hetet internal Libya. Sid hrc memo libya internal strife 012312.cioa Fyi, as usual distribute as you determine.",0.5719,positive,0.1125,positive,1.0,topic_1,0.17801626295098266,0.7495379973927384,0.0724457396562788
249,201,Thomas Nides,2012-12-20T05:00:00+00:00,Id like to see Molho and Laurene From Valmoro Lona mailto Sent Sunday November AM Eastern Standard Time To Cc Abedin Hume AbedinHstategov Huma Abedin Valmoro Lona gov Subject Schedule MS please find below tomorrows final draft Two items to mention David Hale may ask you to see Issac Molho he is likely in town tomorrow Secondly Laurerie Jobs has asked to see you on Monday or Tuesday She has just returned from overseas travel and would like to check in Thank you Lona am DEPART Private Residence En route State Department drive time minutes am ARRIVE State Department am PRESIDENTIAL DAILY BRIEFING am Secretarys Office am DAILY SENIOR STAFF MEETING am Secretarys Conference Room am MONDAY MEETING wASSISTANT SECRETARIES am Principals Conference Room am PHOTOS am Treaty Room Staff Claire Floor Blue Coats and Families Joel Wiegert and Family departing Staff Heidi Crebo Rediker and Family am OFFICE TIME pm Secretarys Office pm PHOTOS pm Treaty Room Staff Claire Webster University DC Region people th Floor Blue Coats and Families pm DEPART State Department En route White House US Department of State Case No Doc No STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM Date SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER drive time minutes pm ARRIVE White House pm pm White House Situation Room Contact Caroline Krency Office CLOSED PRESS Note US Pat Kennedy to attend as plus one for State pm DEPART White House En route State Department drive time minutes pm ARRIVE State Department pm OFFICE TIME pm Secretarys Office pm DEPART State Department En route Private Residence drive time minutes pm ARRIVE Private Residence HRC RON Washington DC WJC RON Chappaqua NY Weather Washington DC Mostly sunny Lona Vairrinre Special Assistant to Secretary Hillary Rodham Clinton direct US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE SCB,"I'd like to see Molho and Laurene. .... . .. ._.. From Valmoro, Lona 3 {mailto:ValmoroU@state.gov] Sent: Sunday, November 25, 2012 07:48 AM Eastern Standard Time To: H Cc: Abedin, Hume <AbedinH©state.gov›; Huma Abedin; Valmoro, Lona 3 <Valmoroli@state,gov> Subject: Schedule MS, please find below tomorrow's final draft. Two items to mention — David Hale may ask you to see Issac Molho, he is likely in town tomorrow. Secondly, Laurerie Jobs has asked to see you on Monday or Tuesday. She has just returned from overseas travel and would like to check in Thank you -- Lona 8:25 am DEPART Private Residence En route State Department [drive time: 10 minutes] 8:35 am ARRIVE State Department 8:35 am PRESIDENTIAL DAILY BRIEFING 8:40 am Secretary's Office 8:45 am DAILY SENIOR STAFF MEETING 9.15 am Secretary's Conference Room 9:15 am MONDAY MEETING w/ASSISTANT SECRETARIES 10:00 am Principals Conference Room 7516 10:00 am PHOTOS 10:15 am Treaty Room Staff: Claire 70, Floor ""Blue Coats and Families Joel Wiegert and Family, departing E Staff - Heidi Crebo-Rediker and Family 10:15 am OFFICE TIME 2:00 pm Secretary's Office 2:00 pm PHOTOS 2:15 pm Treaty Room Staff. Claire - Webster University, DC Region (14 people) - 7th Floor ""Blue Coats' and Families 2:25 pm DEPART State Department En route White House U.S. Department of State Case No. F-2015-04841 Doc No. C05739834 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. Date: 05/13/2015 SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045808 U.S. Department of State Case No. F-2015-04841 Doc No. C05739834 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. [drive time: 5 minutes] 2:30 pm ARRIVE White House 2:35 pm B5 3:20 pm White House Situation Room Contact: Caroline Krency Office 202-456-6317, B6 CLOSED PRESS Note: U/S Pat Kennedy to attend as plus one for State. 3:25 pm DEPART White House En route State Department [drive time: 5 minutes], 3:30 pm ARRIVE State Department 3:30 pm OFFICE TIME 6:00 pm Secretary's Office 6:00 pm DEPART State Department En route Private Residence [drive time: 10 minutes] 6:10 pm ARRIVE Private Residence HRC RON Washington, DC WJC RON Chappaqua, NY Weather: Washington, DC: Mostly sunny, 54/39. Lona Vairrinre Special Assistant to Secretary Hillary Rodham Clinton (202) 647-9071 (direct) U.S. Department of State Case No. F-2015-04841 Doc No. C05739834 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045809",0.7964,positive,0.01886446886446887,positive,1.0,topic_0,0.6929493169506465,0.26420510458677104,0.042845578462582384
